run_id,run_type,as_of_date,status,started_at,finished_at,warning_count,error_count,code_version
20260428205028-00da58eb,daily,2026-04-28,running,2026-04-28T20:50:28,,0,0,pipeline-v1
20260428222851-ad81624e,daily,2026-04-28,running,2026-04-28T22:28:51,,0,0,pipeline-v1
20260428222851-ad81624e,daily,2026-04-28,failed,2026-04-28T22:28:51,2026-04-28T22:28:51,0,1,pipeline-v1
20260428223110-b2829383,daily,2026-04-28,running,2026-04-28T22:31:10,,0,0,pipeline-v1
20260428223110-b2829383,daily,2026-04-28,failed,2026-04-28T22:31:10,2026-04-28T22:31:10,0,1,pipeline-v1
20260428223424-cb03299b,daily,2026-04-28,running,2026-04-28T22:34:24,,0,0,pipeline-v1
20260428223424-cb03299b,daily,2026-04-28,failed,2026-04-28T22:34:24,2026-04-28T22:34:24,0,1,pipeline-v1
20260428223523-fdd3fce4,daily,2026-04-28,running,2026-04-28T22:35:23,,0,0,pipeline-v1
20260428223523-fdd3fce4,daily,2026-04-28,failed,2026-04-28T22:35:23,2026-04-28T22:35:23,0,1,pipeline-v1
20260430072551-f8aad192,daily,2026-04-30,running,2026-04-30T07:25:51,,0,0,pipeline-v1
20260430072551-f8aad192,daily,2026-04-30,failed,2026-04-30T07:25:51,2026-04-30T07:26:21,0,1,pipeline-v1
20260430072641-58a047e7,daily,2026-04-30,running,2026-04-30T07:26:41,,0,0,pipeline-v1
20260430073137-0a7aabee,daily,2026-04-30,running,2026-04-30T07:31:37,,0,0,pipeline-v1
20260430073219-6b6ffc56,daily,2026-04-30,running,2026-04-30T07:32:19,,0,0,pipeline-v1
20260430073219-6b6ffc56,daily,2026-04-30,failed,2026-04-30T07:32:19,2026-04-30T07:32:42,0,1,pipeline-v1
20260430072641-58a047e7,daily,2026-04-30,failed,2026-04-30T07:26:41,2026-04-30T07:33:47,0,1,pipeline-v1
20260430073457-a33d385f,daily,2026-04-30,running,2026-04-30T07:34:57,,0,0,pipeline-v1
20260430073457-a33d385f,daily,2026-04-30,success,2026-04-30T07:34:57,2026-04-30T07:35:19,0,0,pipeline-v1
20260430073137-0a7aabee,daily,2026-04-30,success,2026-04-30T07:31:37,2026-04-30T07:38:51,0,0,pipeline-v1
20260430203525-6fb852f7,daily,2026-04-30,running,2026-04-30T20:35:25,,0,0,pipeline-v1
20260430203525-6fb852f7,daily,2026-04-30,success,2026-04-30T20:35:25,2026-04-30T20:42:28,0,0,pipeline-v1
